Name	energy/eV	pauling1	ionization1	affinity1	bulknn1	rd1	coupling_m1	work_function1	pauling2	ionization2	affinity2	bulknn2	rd2	coupling_m2	work_function2	d_center	d_skew	d_kurt	d_fill	sp_fill
Au/Ag/Au(111)	-0.2016	2.54	9.226	2.309	2.9373	1.01	3.35	5.28	1.93	7.576	1.304	2.9261	0.89	2.26	4.427	-3.9641	9.542	2.874	9.4921	0.7079
Au/Cu/Au(111)	-0.3602	2.54	9.226	2.309	2.9373	1.01	3.35	5.28	1.9	7.726	1.236	2.5652	0.67	1	4.719	-2.0438	18.8883	4.3018	9.7499	0.65
Au/Pt/Au(111)	-0.7088	2.54	9.226	2.309	2.9373	1.01	3.35	5.28	2.28	8.959	2.125	2.8038	1.04	3.9	5.75	-1.6896	14.0624	3.1565	8.074	0.9526
Au/Pd/Au(111)	-0.5415	2.54	9.226	2.309	2.9373	1.01	3.35	5.28	2.2	8.337	0.562	2.7846	0.94	2.78	5.21	-1.363	13.061	3.3576	8.6691	0.7303
Au/Rh/Au(111)	-0.6789	2.54	9.226	2.309	2.9373	1.01	3.35	5.28	2.28	7.459	1.143	2.704	0.99	3.32	5.078	-1.1214	5.9964	2.3945	7.1834	0.724
Au/Ni/Au(111)	-0.5993	2.54	9.226	2.309	2.9373	1.01	3.35	5.28	1.91	7.64	1.157	2.4842	0.71	1.16	4.945	-0.7406	15.0105	3.8548	7.84	0.6788
Ag/Au/Ag(111)	-0.1497	1.93	7.576	1.304	2.9261	0.89	2.26	4.427	2.54	9.226	2.309	2.9373	1.01	3.35	5.28	-3.5003	11.412	2.9801	8.8026	0.8853
Ag(111)	-0.1494	1.93	7.576	1.304	2.9261	0.89	2.26	4.427	1.93	7.576	1.304	2.9261	0.89	2.26	4.427	-3.6966	5.151	2.4936	8.686	0.6082
Ag/Cu/Ag(111)	-0.1429	1.93	7.576	1.304	2.9261	0.89	2.26	4.427	1.9	7.726	1.236	2.5652	0.67	1	4.719	-2.0372	82.5997	8.0376	10.5827	0.6552
Ag/Pt/Ag(111)	-0.4886	1.93	7.576	1.304	2.9261	0.89	2.26	4.427	2.28	8.959	2.125	2.8038	1.04	3.9	5.75	-1.8639	8.0961	2.5374	8.2701	1.0067
Ag/Pd/Ag(111)	-0.403	1.93	7.576	1.304	2.9261	0.89	2.26	4.427	2.2	8.337	0.562	2.7846	0.94	2.78	5.21	-1.4254	18.4167	3.6958	8.58	0.782
Ag/Ir/Ag(111)	-0.5669	1.93	7.576	1.304	2.9261	0.89	2.26	4.427	2.2	9.121	1.564	2.7388	1.08	4.45	5.489	-1.2599	7.8332	2.4992	7.1129	1.0574
Ag/Rh/Ag(111)	-0.543	1.93	7.576	1.304	2.9261	0.89	2.26	4.427	2.28	7.459	1.143	2.704	0.99	3.32	5.078	-1.0056	3.3445	2.0367	7.2877	0.7138
Ag/Ni/Ag(111)	-0.4597	1.93	7.576	1.304	2.9261	0.89	2.26	4.427	1.91	7.64	1.157	2.4842	0.71	1.16	4.945	-0.6793	14.0619	3.7056	8.0593	0.699
Cu(111)	-0.6615	1.9	7.726	1.236	2.5652	0.67	1	4.719	1.9	7.726	1.236	2.5652	0.67	1	4.719	-2.1446	23.3774	4.3996	9.3508	0.7481
Cu/Pt/Cu(111)	-0.9427	1.9	7.726	1.236	2.5652	0.67	1	4.719	2.28	8.959	2.125	2.8038	1.04	3.9	5.75	-2.7074	6.096	2.2432	8.6746	1.5186
Cu/Pd/Cu(111)	-0.8701	1.9	7.726	1.236	2.5652	0.67	1	4.719	2.2	8.337	0.562	2.7846	0.94	2.78	5.21	-2.3661	5.294	2.2128	8.5855	1.174
